nohup: ignoring input
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:46 UTC][ZED][INFO] Logging level INFO
[2026-04-17 17:29:47 UTC][ZED][INFO] Using USB input... Switched to default resolution HD720
[2026-04-17 17:29:47 UTC][ZED][INFO] [Init]  Depth mode: PERFORMANCE
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Camera successfully opened.
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Camera FW version: 1523
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Video mode: HD720@60
[2026-04-17 17:29:48 UTC][ZED][INFO] [Init]  Serial Number: S/N 39159189
[2026-04-17 17:29:49 UTC][ZED][WARNING] [Init]  Self-calibration failed. Point the camera towards a more textured and brighter area. Avoid objects closer than 1 meter (Error code: 0x01) 
[2026-04-17 17:29:49 UTC][ZED][INFO] init
[ZedMapper] ZED 2i initialised, spatial mapping enabled
 * Serving Flask app 'combined_server'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.20.10.4:5000
Press CTRL+C to quit
127.0.0.1 - - [17/Apr/2026 12:30:53] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:53] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:54] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:56] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:56] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:57] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:59] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:30:59] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:00] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:02] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:02] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:03] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:05] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:05] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:06] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:08] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:08] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:09] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:11] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:11] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:12] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:14] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:14] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:15] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:17] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:17] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:18] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:20] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:20] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:21] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:23] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:23] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:24] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:26] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:27] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:27] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:29] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:30] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:30] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:32] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:33] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:33] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:35] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:36] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:36] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:38] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:39] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:39] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:41] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:42] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:42] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:44] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:45] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:45] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:47] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:48] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:48] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:50] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:51] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:51] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:53] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:54] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:54] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:56] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:57] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:57] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:31:59] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:00] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:00] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:02] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:03] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:03] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:05] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:06] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:06] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:08] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:09] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:09] "GET /map_status HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 12:32:11] "GET /map_status HTTP/1.1" 200 -
